sign	id	agew_n	heightw_n	weightw_n	want_dietw_n	want_diet_1	id_p_createdw_n	waistw_n	bmi_finalw_n	bmi_1	recentw_n	seoul	metropol	otherregion	company	worker	etcwork	gender	married	d1	d2	d3	d4	loss_up	loss_down	loss_both	d_purpose1	d_purpose2	d_purpose3	diet_food	diet_clinic	20_female	PG01
0	snavy	0.38	0.50	0.17	0.16	1	0.31	0.25	0.15	1	1.00	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1	0
0	rains77	0.38	0.61	0.43	0.24	1	0.53	0.38	0.40	2	1.00	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0
0	ljy3338	0.16	0.17	0.27	0.28	2	0.00	0.38	0.43	2	0.25	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0
0	sunyou33	0.54	0.33	0.27	0.20	1	0.00	0.38	0.35	2	0.61	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0
0	do5do	0.70	0.28	0.17	0.08	1	0.02	0.25	0.25	2	0.00	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0
0	meggyjin	0.43	0.06	0.00	0.00	1	0.00	0.41	0.06	1	0.09	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
0	xhslwldms	0.11	0.33	0.37	0.28	2	0.57	0.50	0.47	2	0.61	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0
0	iris99	0.05	1.00	0.63	0.88	4	0.04	0.50	0.28	2	0.05	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
0	nosstar	0.65	0.61	0.33	0.36	2	0.00	0.41	0.29	2	0.15	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0
0	jsy147	0.00	0.33	0.03	0.08	1	0.01	0.13	0.06	1	0.10	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0
0	rkdtjsdud	0.00	0.33	0.00	0.00	1	0.00	0.00	0.00	1	0.09	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0
0	angelmink	0.27	0.47	0.48	0.36	2	0.92	0.50	0.53	3	0.19	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0
0	cutepuyo	0.16	0.22	0.00	0.00	1	0.00	0.00	0.00	1	0.20	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0
0	ko803	1.00	0.06	0.67	0.28	2	0.99	0.88	1.00	4	0.91	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0
0	y1126611	0.32	0.50	0.37	0.48	2	0.84	0.38	0.38	2	0.01	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0
0	0162655575	0.05	0.61	0.07	0.16	1	0.34	0.41	0.00	1	0.58	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
0	jasp7778	0.38	0.28	0.43	0.08	1	0.00	0.88	0.58	3	0.01	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0
0	tycoons88	0.81	0.06	0.10	0.08	1	0.00	0.41	0.28	2	0.35	0	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0
0	poohwink	0.27	0.28	0.38	0.56	3	0.83	0.50	0.52	3	0.92	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0
0	ok6140	0.48	0.33	0.10	0.08	1	0.21	0.00	0.14	1	0.27	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0
0	rrhqhd	0.22	0.22	0.37	0.28	2	0.78	0.50	0.53	3	0.30	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0
0	vov1211	0.16	0.06	0.03	0.00	1	0.01	0.25	0.19	1	0.20	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
0	0408go	0.91	0.61	0.83	0.88	4	0.00	0.41	0.86	4	0.88	0	0	1	0	0	1	1	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0
0	ksh9191	0.86	0.33	0.07	0.08	1	0.00	0.25	0.10	1	0.20	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0
0	sekdong	0.54	0.00	0.17	0.28	2	1.00	0.41	1.00	4	0.43	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0
